user_id,signup_date,home_country,kyc_status,kyc_method
1,2025-04-05,UK,Verified,Bank Verification
2,2025-04-08,UK,Verified,Document Upload
3,2024-03-23,US,Verified,Document Upload
4,2024-09-09,CA,Failed,Utility Bill
5,2024-07-19,US,Verified,Document Upload
6,2024-07-13,CA,Pending,Bank Verification
7,2024-05-11,UK,Verified,Bank Verification
8,2025-06-04,US,Verified,Bank Verification
9,2024-09-17,US,Verified,Bank Verification
10,2025-03-28,UK,Failed,Bank Verification
11,2024-11-04,UK,Verified,Document Upload
12,2024-01-08,UK,Pending,Document Upload
13,2024-08-12,US,Failed,Utility Bill
14,2025-05-11,US,Verified,Document Upload
15,2024-08-15,US,Verified,Utility Bill
16,2025-04-08,UK,Failed,Utility Bill
17,2024-04-16,UK,Verified,Bank Verification
18,2023-12-28,CA,Verified,Document Upload
19,2023-12-10,US,Verified,Bank Verification
20,2024-07-01,US,Verified,Bank Verification
21,2024-02-12,UK,Verified,Bank Verification
22,2024-11-22,CA,Pending,Utility Bill
23,2025-03-29,UK,Verified,Bank Verification
24,2024-09-02,US,Pending,Document Upload
25,2024-10-11,UK,Verified,Document Upload
26,2024-06-08,UK,Failed,Utility Bill
27,2023-12-02,UK,Pending,Document Upload
28,2025-01-15,UK,Verified,Document Upload
29,2024-02-19,US,Verified,Document Upload
30,2025-04-03,UK,Verified,Bank Verification
31,2024-12-04,CA,Verified,Bank Verification
32,2024-03-28,CA,Verified,Utility Bill
33,2025-01-30,CA,Pending,Bank Verification
34,2024-06-03,UK,Failed,Bank Verification
35,2024-10-02,CA,Verified,Bank Verification
36,2024-09-01,UK,Verified,Bank Verification
37,2024-01-01,UK,Verified,Document Upload
38,2024-03-12,UK,Verified,Document Upload
39,2024-02-28,US,Verified,Document Upload
40,2024-08-12,US,Verified,Document Upload
41,2023-12-09,US,Verified,Document Upload
42,2023-12-09,UK,Verified,Document Upload
43,2025-04-04,UK,Verified,Bank Verification
44,2025-02-24,UK,Pending,Document Upload
45,2024-12-27,UK,Verified,Document Upload
46,2024-08-09,UK,Verified,Bank Verification
47,2024-03-08,CA,Verified,Document Upload
48,2024-09-18,UK,Verified,Document Upload
49,2023-12-08,UK,Verified,Document Upload
50,2024-12-01,CA,Verified,Document Upload
51,2024-01-08,CA,Verified,Bank Verification
52,2024-07-18,UK,Verified,Bank Verification
53,2024-05-06,CA,Verified,Bank Verification
54,2025-02-06,UK,Failed,Utility Bill
55,2024-07-18,UK,Failed,Utility Bill
56,2024-03-20,US,Verified,Bank Verification
57,2024-02-01,US,Verified,Utility Bill
58,2024-02-12,US,Verified,Bank Verification
59,2023-12-17,US,Pending,Utility Bill
60,2025-04-08,US,Verified,Bank Verification
61,2024-04-03,US,Verified,Document Upload
62,2024-09-27,UK,Failed,Bank Verification
63,2024-05-26,US,Verified,Document Upload
64,2025-01-14,US,Verified,Document Upload
65,2025-06-12,UK,Verified,Document Upload
66,2025-05-04,UK,Verified,Bank Verification
67,2023-12-14,UK,Verified,Document Upload
68,2024-01-27,US,Verified,Bank Verification
69,2024-12-30,UK,Verified,Bank Verification
70,2024-10-18,CA,Failed,Utility Bill
71,2025-02-03,UK,Verified,Utility Bill
72,2025-03-28,CA,Verified,Bank Verification
73,2024-02-18,UK,Verified,Bank Verification
74,2024-06-02,UK,Verified,Bank Verification
75,2025-05-08,CA,Verified,Utility Bill
76,2025-02-25,UK,Verified,Bank Verification
77,2024-08-03,US,Pending,Document Upload
78,2024-01-24,UK,Pending,Bank Verification
79,2023-12-01,UK,Failed,Bank Verification
80,2025-02-17,US,Verified,Utility Bill
81,2024-07-07,US,Verified,Bank Verification
82,2025-06-02,US,Failed,Utility Bill
83,2025-03-13,UK,Verified,Document Upload
84,2025-02-26,CA,Pending,Bank Verification
85,2024-10-12,UK,Verified,Document Upload
86,2024-12-05,US,Verified,Bank Verification
87,2024-05-02,UK,Verified,Utility Bill
88,2024-09-26,UK,Failed,Utility Bill
89,2024-12-09,US,Pending,Document Upload
90,2024-01-21,US,Pending,Utility Bill
91,2024-06-29,US,Verified,Document Upload
92,2024-05-19,US,Verified,Document Upload
93,2024-04-21,UK,Verified,Document Upload
94,2024-12-09,CA,Failed,Utility Bill
95,2024-01-29,CA,Verified,Document Upload
96,2025-06-11,US,Verified,Utility Bill
97,2024-12-28,CA,Verified,Bank Verification
98,2025-03-21,UK,Verified,Bank Verification
99,2025-06-18,UK,Verified,Document Upload
100,2023-12-01,UK,Verified,Bank Verification
101,2025-04-30,Unknown,Verified,Bank Verification
102,2024-10-01,UK,Verified,Document Upload
103,2024-03-10,UK,Verified,Bank Verification
104,2024-05-23,CA,Pending,Document Upload
105,2024-02-18,US,Verified,Document Upload
106,2025-05-20,UK,Verified,Bank Verification
107,2024-09-10,UK,Verified,Document Upload
108,2025-06-01,CA,Verified,Utility Bill
109,2025-03-03,UK,Verified,Bank Verification
110,2024-02-24,UK,Verified,Utility Bill
111,2025-05-10,CA,Verified,Utility Bill
112,2024-07-20,CA,Pending,Bank Verification
113,2025-06-09,CA,Pending,Utility Bill
114,2024-12-27,CA,Verified,Document Upload
115,2024-01-06,US,Verified,Bank Verification
116,2024-12-22,US,Pending,Document Upload
117,2024-12-26,CA,Verified,Bank Verification
118,2025-05-01,UK,Verified,Utility Bill
119,2024-04-05,UK,Failed,Utility Bill
120,2025-03-14,CA,Verified,Bank Verification
121,2024-09-09,US,Verified,Utility Bill
122,2025-06-06,UK,Verified,Document Upload
123,2025-06-08,UK,Verified,Document Upload
124,2024-02-28,US,Verified,Bank Verification
125,2025-06-16,UK,Failed,Utility Bill
126,2024-09-28,UK,Pending,Document Upload
127,2024-10-20,UK,Verified,Bank Verification
128,2025-04-09,US,Verified,Bank Verification
129,2024-06-18,US,Pending,Document Upload
130,2024-04-25,UK,Verified,Document Upload
131,2023-12-07,UK,Verified,Utility Bill
132,2025-03-01,CA,Failed,Utility Bill
133,2024-01-11,UK,Verified,Bank Verification
134,2025-05-16,CA,Verified,Document Upload
135,2025-04-01,UK,Pending,Utility Bill
136,2024-07-14,UK,Verified,Bank Verification
137,2024-02-12,US,Verified,Document Upload
138,2024-01-27,US,Verified,Utility Bill
139,2024-04-25,UK,Verified,Bank Verification
140,2025-06-05,UK,Failed,Bank Verification
141,2024-10-26,UK,Verified,Document Upload
142,2024-03-19,US,Verified,Document Upload
143,2024-08-24,UK,Pending,Document Upload
144,2025-03-04,UK,Verified,Bank Verification
145,2024-05-28,CA,Verified,Document Upload
146,2025-04-29,CA,Pending,Bank Verification
147,2024-05-19,US,Verified,Utility Bill
148,2025-06-10,CA,Verified,Utility Bill
149,2024-11-27,CA,Verified,Document Upload
150,2025-01-05,UK,Verified,Bank Verification
151,2024-01-02,UK,Verified,Document Upload
152,2024-05-02,US,Verified,Document Upload
153,2024-06-12,UK,Verified,Document Upload
